CODE,"LONG DESCRIPTION (EXCLUDED FY2025 ICD-9 ALL TYPES E, L, D)"
78099,Other general symptoms
7964,Other abnormal clinical findings
7969,Other nonspecific abnormal findings
7981,Instantaneous death
7982,"Death occurring in less than 24 hours from onset of symptoms, not otherwise explained"
7989,Unattended death
79989,Other ill-defined conditions
7999,Other unknown and unspecified cause of morbidity and mortality
9089,Late effect of unspecified injury
9093,Late effect of complications of surgical and medical care
9095,"Late effect of adverse effect of drug, medicinal or biological substance"
9598,"Other specified sites, including multiple injury"
9599,Unspecified site injury
9999,"Other and unspecified complications of medical care, not elsewhere classified"
E8490,Home accidents
E8491,Farm accidents
E8492,Mine and quarry accidents
E8493,Accidents occurring in industrial places and premises
E8494,Accidents occurring in place for recreation and sport
E8495,Street and highway accidents
E8496,Accidents occurring in public building
E8497,Accidents occurring in residential institution
E8498,Accidents occurring in other specified places
E8499,Accidents occurring in unspecified place
